name,avg_corn_yields
adair,167.6
adams,171.3
allamakee,190.5
appanoose,157.6
audubon,193
benton,194.2
black_hawk,191.7
boone,183.4
bremer,198.4
buchanan,199
buena_vista,189.3
butler,189.9
calhoun,189.1
carroll,192.8
cass,185.9
cedar,197.8
cerro_gordo,190.6
cherokee,200.9
chickasaw,194.7
clarke,153.7
clay,184.3
clayton,197.6
clinton,201.5
crawford,204
dallas,176.3
davis,156.3
decatur,159.9
delaware,204.4
des_moines,189.8
dickinson,179.3
dubuque,207.1
emmet,186.8
fayette,195
floyd,191.3
franklin,196.3
fremont,189.4
greene,189
grundy,196.9
guthrie,183.5
hamilton,177.9
hancock,193.7
hardin,187.4
harrison,181.8
henry,179.2
howard,192.2
humboldt,188.4
ida,206.8
iowa,193.8
jackson,194.1
jasper,196.7
jefferson,174.7
johnson,190.6
jones,196.2
keokuk,180.6
kossuth,191.2
lee,174.9
linn,197.8
louisa,188.4
lucas,150.8
lyon,196.9
madison,171.9
mahaska,189.6
marion,180.6
marshall,200.1
mills,190.1
mitchell,196.6
monona,181.1
monroe,159.5
montgomery,186.1
muscatine,190.7
obrien,202.6
osceola,193.1
page,182.4
palo_alto,184.6
plymouth,197.4
pocahontas,191
polk,181.3
pottawattamie,194.9
poweshiek,188.4
ringgold,158.1
sac,197.5
scott,200.2
shelby,199
sioux,204
story,179.7
tama,189.7
taylor,166.3
union,164.8
van_buren,163.2
wapello,172.3
warren,168
washington,193.1
wayne,163.2
webster,185.8
winnebago,193.6
winneshiek,194
woodbury,198.4
worth,193.3
wright,190.9